2024-09-14 10:52:11.057008,43
2024-09-14 11:14:50.053558,43
2024-09-14 11:26:27.176997,43
2024-09-14 11:40:17.596420,41
2024-09-14 11:52:15.900705,39
2024-09-14 12:35:02.286692,39
2024-09-14 13:01:40.931297,46
2024-09-14 13:26:51.082065,42
2024-09-14 13:34:49.102122,39
2024-09-14 13:47:53.020472,27
2024-09-15 02:13:52.530547,42
2024-09-15 02:58:23.038785,50
2024-09-15 03:18:48.396395,47
2024-09-15 03:38:29.626216,46
2024-09-15 03:46:16.842284,45
2024-09-15 04:08:39.118633,36
2024-09-15 04:29:26.148679,34
2024-09-15 04:39:41.564416,35
2024-09-15 04:45:49.744410,36
2024-09-15 05:07:16.386570,29
2024-09-15 05:27:43.906486,32
2024-09-15 05:36:23.852353,32
2024-09-15 05:45:31.637142,32
2024-09-15 06:09:17.991929,33
2024-09-15 06:32:35.499082,40
2024-09-15 06:46:56.303413,44
2024-09-15 07:04:44.322932,41
2024-09-15 07:21:38.936149,50
2024-09-15 07:30:45.651675,42
2024-09-15 07:45:30.326057,47
2024-09-15 08:08:49.885879,56
2024-09-15 08:30:06.485784,75
2024-09-15 08:40:26.029083,81
2024-09-15 08:46:17.362423,80
2024-09-15 09:04:15.323538,78
2024-09-15 09:25:24.043764,57
2024-09-15 09:31:46.819796,55
2024-09-15 09:45:52.135504,37
2024-09-16 01:48:37.532670,54
2024-09-16 02:56:07.423205,64
2024-09-16 03:29:55.650567,64
2024-09-16 03:47:13.836303,64
2024-09-16 04:26:39.373493,76
2024-09-16 04:45:01.866746,81
2024-09-16 04:58:15.003872,74
2024-09-16 05:27:15.949965,59
2024-09-16 05:42:54.201429,64
2024-09-16 05:56:06.861448,64
2024-09-16 06:32:47.116462,89
2024-09-16 06:53:12.345500,80
2024-09-16 07:20:45.840872,84
2024-09-16 07:38:56.244504,91
2024-09-16 07:53:27.253689,86
2024-09-16 08:29:23.801380,106
2024-09-16 08:47:18.683081,119
2024-09-16 09:43:09.695650,112
2024-09-16 09:56:14.326350,102
2024-09-16 10:26:32.497486,100
2024-09-16 10:43:36.970539,108
2024-09-16 10:56:36.728273,95
2024-09-16 11:19:58.041749,79
2024-09-16 11:38:53.716901,91
2024-09-16 11:53:27.454700,90
2024-09-16 12:45:07.234751,89
2024-09-16 13:36:36.466703,41
2024-09-16 13:53:30.556813,19
2024-09-17 01:08:17.820613,0
2024-09-17 02:00:28.010459,0
2024-09-17 02:27:09.540643,0
2024-09-17 02:51:44.741341,0
